nome,tipo,uf,municipio,latitude,longitude,fonte,fonte_url
AGX Tecnologia (Brazil),ICT,,São Carlos,-22.001663208007812,-47.9193115234375,openalex,https://openalex.org/I4210113292
Akaer (Brazil),ICT,,São José dos Campos,-23.189350128173828,-45.885623931884766,openalex,https://openalex.org/I4210131118
Alchemy (Brazil),ICT,,São Paulo,-23.564899444580078,-46.735198974609375,openalex,https://openalex.org/I4210086324
Alergo Dermatologia Integrada,ICT,,São Paulo,-23.56262969970703,-46.64615249633789,openalex,https://openalex.org/I4210086297
Algae Biotecnologia (Brazil),ICT,,Piracicaba,-22.694353103637695,-47.622676849365234,openalex,https://openalex.org/I4210144171
Aliança Orgânica Soluções Ambientais (Brazil),ICT,,São Carlos,-22.007505416870117,-47.88185501098633,openalex,https://openalex.org/I4210166172
ALIS Engineering and Systems Solutions (Brazil),ICT,,Rio de Janeiro,-22.906963348388672,-43.176475524902344,openalex,https://openalex.org/I4210139088
Alpha Br Produtos Químicos (Brazil),ICT,,São Paulo,-23.667020797729492,-46.68970489501953,openalex,https://openalex.org/I4210136137
Altave (Brazil),ICT,,São José dos Campos,-23.21349334716797,-45.87640380859375,openalex,https://openalex.org/I4210103105
Altech (Brazil),ICT,,Goiânia,-16.71367835998535,-49.25274658203125,openalex,https://openalex.org/I4210110785
Amazon Research Foundation,ICT,,Belém,-1.452805995941162,-48.47578811645508,openalex,https://openalex.org/I4210098009
Ambra Solutions (Brazil),ICT,,São José dos Campos,-23.20730209350586,-45.950321197509766,openalex,https://openalex.org/I4210106120
Amnesty International Brazil,ICT,,Rio de Janeiro,-22.93403434753418,-43.180908203125,openalex,https://openalex.org/I4210124982
AMS Kepler (Brazil),ICT,,Rio de Janeiro,-23.006023406982422,-43.31122589111328,openalex,https://openalex.org/I4210146723
Anamê Health Design (Brazil),ICT,MG,Belo Horizonte,-19.92083,-43.93778,openalex,https://openalex.org/I4405254291
Ananse (Brazil),ICT,,Iperó,-23.358522415161133,-47.7040901184082,openalex,https://openalex.org/I4210157876
ANDI,ICT,,Brasília,-15.79574966430664,-47.884639739990234,openalex,https://openalex.org/I4210155689
Androfert,ICT,,Campinas,-22.876487731933594,-47.05146789550781,openalex,https://openalex.org/I4210110853
Anhanguera (Brazil),ICT,,Valinhos,-22.963865280151367,-47.00194549560547,openalex,https://openalex.org/I4210138292
Anhanguera-Uniderp University,Universidade,,Campo Grande,-20.463613510131836,-54.59281921386719,openalex,https://openalex.org/I3131871626
Anhembi Morumbi University,Universidade,,São Paulo,-23.547500610351562,-46.6361083984375,openalex,https://openalex.org/I184779318
Anis,ICT,DF,Brasília,-15.77972,-47.92972,openalex,https://openalex.org/I4210151287
Anod-arc (Brazil),ICT,,São Paulo,-23.564851760864258,-46.734962463378906,openalex,https://openalex.org/I4210117548
Antares Eletrônica (Brazil),ICT,,Jundiaí,-23.20710563659668,-46.87562561035156,openalex,https://openalex.org/I4210134260
Antoniosi Tecnologia Agroindustrial (Brazil),ICT,,Matão,-21.628259658813477,-48.334651947021484,openalex,https://openalex.org/I4210162731
APESC - Associacao Pro-Ensino em Santa Cruz do Sul,ICT,RS,Santa Cruz do Sul,-29.7175,-52.42583,openalex,https://openalex.org/I4405266339
Apis Flora (Brazil),ICT,,São Paulo,-21.20524024963379,-47.79652786254883,openalex,https://openalex.org/I4210106111
ArcelorMittal (Brazil),ICT,,São Paulo,-23.566993713378906,-46.650390625,openalex,https://openalex.org/I4210150794
Arquivo Histórico Judaico Brasileiro,ICT,,São Paulo,-23.565078735351562,-46.68067932128906,openalex,https://openalex.org/I4210094191
Arquivo Público do Estado do Rio de Janeiro,ICT,,Rio de Janeiro,-22.949893951416016,-43.18266296386719,openalex,https://openalex.org/I4210129870
Artecriação (Brazil),ICT,,Rio de Janeiro,-22.919395446777344,-43.20842361450195,openalex,https://openalex.org/I4210099242
Article 19,ICT,,São Paulo,-23.548654556274414,-46.64070510864258,openalex,https://openalex.org/I4210102172
Asel-Tech (Brazil),ICT,,São Carlos,-22.01119041442871,-47.886627197265625,openalex,https://openalex.org/I4210093906
AsGa (Brazil),ICT,,Paulínia,-22.767379760742188,-47.11208724975586,openalex,https://openalex.org/I4210140409
Assembleia Legislativa de São Paulo,ICT,,São Paulo,-23.581111907958984,-46.65833282470703,openalex,https://openalex.org/I4210091111
Associação Aeroespacial Brasileira,ICT,,São José dos Campos,-23.221519470214844,-45.89834976196289,openalex,https://openalex.org/I4210160716
Associação Beneficente Santa Casa de Campo Grande,ICT,MS,Campo Grande,-20.44278,-54.64639,openalex,https://openalex.org/I4405270832
Associação Brasileira da Batata,ICT,,Itapetininga,-23.5919189453125,-48.039405822753906,openalex,https://openalex.org/I4210130272
Associação Brasileira de Águas Subterrâneas,ICT,,São Paulo,-23.597871780395508,-46.65439224243164,openalex,https://openalex.org/I4210150800
Associação Brasileira de Alergia e Imunologia,ICT,,São Paulo,-23.59470558166504,-46.65029525756836,openalex,https://openalex.org/I4210147143
Associação Brasileira de Análise Térmica e Calorimetria,ICT,,São Paulo,-23.561378479003906,-46.73093032836914,openalex,https://openalex.org/I4210118175
Associação Brasileira de Antropologia,ICT,,Brasília,-15.767980575561523,-47.86882781982422,openalex,https://openalex.org/I4210118408
Associação Brasileira de Avaliação de Impacto,ICT,,Ribeirão Preto,-21.177499771118164,-47.810279846191406,openalex,https://openalex.org/I4210095911
Associação Brasileira de Ciência Política,ICT,,Rio de Janeiro,-22.95306968688965,-43.19190216064453,openalex,https://openalex.org/I4210153693
Associacao Brasileira de Criminalistica - ABC,ICT,DF,Brasília,-15.77972,-47.92972,openalex,https://openalex.org/I4405266759
Associação Brasileira de Custos,ICT,RS,São Leopoldo,-29.76028,-51.14722,openalex,https://openalex.org/I4405266142
Associação Brasileira de Distrofia Muscular,ICT,SP,São Paulo,-23.5475,-46.63611,openalex,https://openalex.org/I4405271117
Associacao Brasileira de Educacao Medica,ICT,DF,Brasília,-15.77972,-47.92972,openalex,https://openalex.org/I4405266787
Associação Brasileira de Energia Solar,ICT,SP,São Paulo,-23.5475,-46.63611,openalex,https://openalex.org/I4405266709
Associação Brasileira de Engenharia Agrícola,ICT,,Jaboticabal,-21.237422943115234,-48.27574920654297,openalex,https://openalex.org/I4210114682
Associação Brasileira de Engenharia de Produção,ICT,,Rio de Janeiro,-22.907527923583984,-43.17631912231445,openalex,https://openalex.org/I4210096628
Associação Brasileira de Ensaios não Destrutivos e Inspeção,ICT,,São Paulo,-23.601490020751953,-46.64960479736328,openalex,https://openalex.org/I4210166910
Associacao Brasileira de Ensino Odontologico ABENO,ICT,SC,Florianópolis,-27.59667,-48.54917,openalex,https://openalex.org/I4405266708
Associação Brasileira de Esclerose Lateral Amiotrófica,ICT,,São Paulo,-23.594572067260742,-46.64223098754883,openalex,https://openalex.org/I4210093869
Associação Brasileira de Estatística,ICT,,São Paulo,-23.562822341918945,-46.72268295288086,openalex,https://openalex.org/I4210095263
Associação Brasileira de Estudos da Cannabis sativa,ICT,SP,São Paulo,-23.5475,-46.63611,openalex,https://openalex.org/I4405266078
Associação Brasileira de Estudos de Defesa,ICT,,São Carlos,-21.931499481201172,-47.8784294128418,openalex,https://openalex.org/I4210086699
Associação Brasileira de Estudos do Trabalho,ICT,SC,Florianópolis,-27.59667,-48.54917,openalex,https://openalex.org/I4405254698
Associação Brasileira de Estudos Populacionais,ICT,,Belo Horizonte,-19.870107650756836,-43.96145248413086,openalex,https://openalex.org/I4210110566
Associação Brasileira de Informática,ICT,,Campinas,-22.819250106811523,-47.06144332885742,openalex,https://openalex.org/I4210103771
Associação Brasileira de Literatura Comparada,ICT,,Rio de Janeiro,-22.86164665222168,-43.40031051635742,openalex,https://openalex.org/I4210151545
Associação Brasileira de Médicos Veterinários de Equídeos,ICT,,Ribeirão Preto,-21.171754837036133,-47.822261810302734,openalex,https://openalex.org/I4210099243
